Java HotSpot(TM) 64-Bit Server VM (25.161-b12) for windows-amd64 JRE (1.8.0_161-b12), built on Dec 19 2017 17:52:25 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 33469572k(19482664k free), swap 33469572k(15755360k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:MaxHeapSize=536870912 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC -XX:+UseParallelOldGC 
2018-03-03T23:57:23.626+0300: 47.130: [GC (Allocation Failure) [PSYoungGen: 151072K->1632K(161792K)] 210385K->62441K(511488K), 0.0220181 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2018-03-03T23:57:23.709+0300: 47.213: [GC (Allocation Failure) [PSYoungGen: 151136K->1600K(163328K)] 211945K->63937K(513024K), 0.0229555 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2018-03-03T23:57:23.795+0300: 47.299: [GC (Allocation Failure) [PSYoungGen: 153152K->1632K(162816K)] 215489K->65497K(512512K), 0.0223080 secs] [Times: user=0.11 sys=0.00, real=0.02 secs] 
2018-03-03T23:57:23.877+0300: 47.381: [GC (Allocation Failure) [PSYoungGen: 153184K->1440K(164352K)] 217049K->82881K(514048K), 0.0227825 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2018-03-03T23:57:23.966+0300: 47.469: [GC (Allocation Failure) [PSYoungGen: 155040K->1632K(163840K)] 236481K->84481K(513536K), 0.0191047 secs] [Times: user=0.22 sys=0.00, real=0.02 secs] 
2018-03-03T23:57:24.054+0300: 47.558: [GC (Allocation Failure) [PSYoungGen: 155232K->1696K(165376K)] 238081K->86105K(515072K), 0.0207516 secs] [Times: user=0.11 sys=0.00, real=0.02 secs] 
2018-03-03T23:57:39.141+0300: 62.645: [GC (Allocation Failure) [PSYoungGen: 157344K->1664K(164864K)] 241753K->87649K(514560K), 0.0244477 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2018-03-03T23:57:39.231+0300: 62.735: [GC (Allocation Failure) [PSYoungGen: 157312K->1888K(166400K)] 243297K->89473K(516096K), 0.0226500 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
2018-03-03T23:57:39.319+0300: 62.823: [GC (Allocation Failure) [PSYoungGen: 159584K->1664K(165888K)] 247169K->90953K(515584K), 0.0236301 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
2018-03-03T23:57:39.408+0300: 62.911: [GC (Allocation Failure) [PSYoungGen: 159360K->1696K(167424K)] 248649K->92593K(517120K), 0.0251607 secs] [Times: user=0.13 sys=0.00, real=0.03 secs] 
